symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
DELTASPINN,2025-05-13,6.1,5.8,6.1,5.7,229864,1.351,130,-0.2,998892000.0,2025-05-13 16:37:12.873,0,5.8,5.8,5.8
DELTASPINN,2025-05-14,5.9,5.6,5.9,5.6,234201,1.333,141,-0.2,965595000.0,2025-05-14 11:55:54.737,0,5.899999999999999,5.699999999999999,5.5
DELTASPINN,2025-05-15,5.8,5.6,5.8,5.5,153240,0.86,100,,932299000.0,2025-05-15 09:22:03.252,0,5.855228474983079,5.666666666666667,5.478104858350255
DELTASPINN,2025-05-17,5.8,5.8,5.8,5.6,90564,0.521,71,0.2,932.299,2025-05-17 10:16:27.736,0,5.8999999999999995,5.699999999999999,5.499999999999999
DELTASPINN,2025-05-18,5.9,5.7,6.0,5.7,142158,0.828,122,-0.1,965.595,2025-05-18 11:08:36.556,0,5.878885438199983,5.7,5.521114561800017
DELTASPINN,2025-05-19,5.9,5.8,6.0,5.7,322589,1.901,137,0.1,948.947,2025-05-19 11:06:50.832,0,5.896172160237816,5.716666666666666,5.537161173095516
DELTASPINN,2025-05-20,5.9,5.8,5.9,5.7,122175,0.706,70,,965.595,2025-05-20 11:07:40.053,0,5.904697542941971,5.728571428571429,5.552445314200886
DELTASPINN,2025-05-21,6.0,5.8,6.0,5.8,149969,0.875,47,,965.595,2025-05-21 12:04:24.651,0,5.908891365010026,5.7375,5.566108634989973
DELTASPINN,2025-05-22,5.8,5.7,5.9,5.7,269696,1.548,89,,965.595,2025-05-22 11:10:37.899,0,5.896632649518879,5.733333333333333,5.570034017147788
DELTASPINN,2025-05-24,5.7,5.6,5.8,5.6,212489,1.195,92,-0.1,948.947,2025-05-24 12:04:34.979,0,5.8943559577416265,5.72,5.545644042258373
DELTASPINN,2025-05-25,5.7,5.6,5.7,5.5,162409,0.91,62,,932.299,2025-05-25 12:02:49.510,0,5.889081726120212,5.709090909090909,5.529100092061606
DELTASPINN,2025-05-26,5.7,5.6,5.7,5.5,118113,0.658,69,,932.299,2025-05-26 11:07:34.020,0,5.882574185835055,5.699999999999999,5.517425814164944
DELTASPINN,2025-05-27,5.6,5.4,5.7,5.4,356135,1.955,115,-0.2,932.299,2025-05-27 11:06:03.107,0,5.914265363392945,5.676923076923076,5.439580790453207
DELTASPINN,2025-05-28,5.7,5.6,5.9,5.5,289050,1.647,169,0.2,899.003,2025-05-28 12:01:24.509,0,5.903543954418169,5.671428571428571,5.439313188438972
DELTASPINN,2025-05-29,5.7,5.7,5.8,5.5,104370,0.592,84,0.1,932.299,2025-05-29 12:01:00.738,0,5.898030660618035,5.673333333333333,5.4486360060486305
DELTASPINN,2025-06-01,5.8,5.6,5.8,5.5,131771,0.74,100,-0.1,948.947,2025-06-01 11:08:33.432,0,5.889189901106855,5.66875,5.448310098893145
DELTASPINN,2025-06-02,5.7,5.6,5.8,5.6,123925,0.704,59,,932.299,2025-06-02 11:07:02.258,0,5.880997368362943,5.664705882352941,5.448414396342939
DELTASPINN,2025-06-03,5.6,5.6,5.7,5.5,39947,0.223,44,,932.299,2025-06-03 11:07:32.239,0,5.873388590828252,5.6611111111111105,5.448833631393969
DELTASPINN,2025-06-04,5.5,5.6,5.7,5.5,15652,0.088,31,,932.299,2025-06-04 11:07:52.925,0,5.85275875100994,5.65,5.447241248990061
