symbol,date,open,close,high,low,volume,value,trades,change,marketCap,collectedAt,__v,upper,middle,lower
FEKDIL,2025-05-13,15.5,15.2,15.5,15.2,415180,6.341,289,-0.2,3368660000.0,2025-05-13 16:34:29.511,0,15.2,15.2,15.2
FEKDIL,2025-05-14,15.2,14.8,15.2,14.6,1146626,17.117,693,-0.4,3324911000.0,2025-05-14 11:52:44.481,0,15.399999999999999,15.0,14.600000000000001
FEKDIL,2025-05-15,14.8,14.6,14.9,14.6,438764,6.444,321,-0.2,3237414000.0,2025-05-15 09:18:59.482,0,15.365554318236526,14.866666666666667,14.367779015096808
FEKDIL,2025-05-17,14.7,14.7,14.8,14.4,439896,6.431,240,0.2,3193.665,2025-05-17 09:58:33.284,0,15.280521678957214,14.825,14.369478321042784
FEKDIL,2025-05-18,14.8,14.7,15.1,14.6,744324,11.071,508,,3215.539,2025-05-18 11:05:29.947,0,15.219523539268062,14.8,14.38047646073194
FEKDIL,2025-05-19,14.8,15.1,15.4,14.8,1131785,17.066,750,0.4,3215.539,2025-05-19 11:03:54.725,0,15.293471156521669,14.85,14.40652884347833
FEKDIL,2025-05-20,15.1,15.0,15.2,14.9,544589,8.181,374,-0.1,3303.037,2025-05-20 11:04:25.703,0,15.295211342119751,14.87142857142857,14.447645800737389
FEKDIL,2025-05-21,15.1,15.2,15.3,15.0,489973,7.41,318,0.2,3281.163,2025-05-21 11:45:38.905,0,15.364578533000628,14.9125,14.460421466999371
FEKDIL,2025-05-22,15.2,14.9,15.2,14.8,466694,7.006,371,-0.3,3324.911,2025-05-22 11:07:05.992,0,15.337407246516685,14.91111111111111,14.484814975705534
FEKDIL,2025-05-24,14.9,14.6,14.9,14.6,821893,12.08,454,-0.3,3259.288,2025-05-24 11:45:44.116,0,15.325421149026402,14.88,14.4345788509736
FEKDIL,2025-05-25,14.8,14.8,14.9,14.7,491258,7.264,307,0.2,3193.665,2025-05-25 11:44:33.515,0,15.299903277253481,14.872727272727273,14.445551268201065
FEKDIL,2025-05-26,14.9,14.7,14.9,14.6,429502,6.326,272,-0.1,3237.414,2025-05-26 11:04:36.172,0,15.278320105611806,14.858333333333334,14.438346561054862
FEKDIL,2025-05-27,14.9,14.6,14.9,14.5,388219,5.676,279,-0.1,3215.539,2025-05-27 11:03:15.549,0,15.264812506478494,14.838461538461539,14.412110570444584
FEKDIL,2025-05-28,14.8,14.4,14.8,14.3,535848,7.748,319,-0.2,3193.665,2025-05-28 11:44:31.385,0,15.275966830897772,14.807142857142859,14.338318883387945
FEKDIL,2025-05-29,14.5,14.5,14.6,14.3,367308,5.313,245,0.1,3149.916,2025-05-29 11:44:40.215,0,15.264811228721097,14.786666666666667,14.308522104612237
FEKDIL,2025-06-01,14.6,14.8,14.8,14.5,493486,7.259,292,0.3,3171.79,2025-06-01 11:05:34.894,0,15.250506479436304,14.7875,14.324493520563696
FEKDIL,2025-06-02,14.9,15.1,15.3,14.8,988549,14.902,468,0.3,3237.414,2025-06-02 11:04:07.572,0,15.278524927684721,14.805882352941175,14.33323977819763
FEKDIL,2025-06-03,15.0,14.8,15.0,14.8,359116,5.35,247,-0.3,3303.037,2025-06-03 11:04:22.023,0,15.264889480190986,14.805555555555555,14.346221630920125
FEKDIL,2025-06-04,14.8,15.0,15.1,14.6,1109104,16.591,307,0.2,3237.414,2025-06-04 11:04:45.839,0,15.223770646363592,14.794444444444444,14.365118242525297
